#site     lx      ly     state1     state2   OParams_[site][state1][state2].real()       OParams_[site][state1][state2].imag()
7              7              0              0              4    -0.00976365      -0.064601
7              7              0              0              5       0.228804     -0.0439969
7              7              0              1              1       0.519305              0
7              7              0              1              2    5.95744e-05      0.0483827
7              7              0              1              3    -0.00922224      -0.064707
7              7              0              1              4      0.0970644       0.470694
7              7              0              1              5      0.0484673     -0.0049718
7              7              0              2              2       0.688995              0
7              7              0              2              3      -0.228809      0.0439425
7              7              0              2              4     -0.0483844       0.005391
7              7              0              2              5      0.0611988       0.304743
7              7              0              3              3         0.7917              0
7              7              0              3              4      0.0651964    -0.00677878
7              7              0              3              5     0.00177373       0.232917
7              7              0              4              4       0.519304              0
7              7              0              4              5   -0.000486686      0.0483814
7              7              0              5              5       0.688991              0
8              8              0              0              0       0.505234              0
8              8              0              0              1      0.0144799     0.00664592
8              8              0              0              2    0.000662306    -0.00695783
8              8              0              0              3       0.458425       0.185876
8              8              0              0              4     -0.0149227    -0.00170149
8              8              0              0              5    0.000995256     0.00801465
8              8              0              1              1       0.807282              0
8              8              0              1              2    -0.00157242      -0.237399
8              8              0              1              3     -0.0150326    -0.00143493
8              8              0              1              4       0.178964      0.0703206
8              8              0              1              5     -0.0863115       0.221255
8              8              0              2              2       0.687482              0
8              8              0              2              3    -0.00121937    -0.00809857
8              8              0              2              4      0.0860374      -0.221366
8              8              0              2              5       0.289743       0.116647
8              8              0              3              3       0.505234              0
8              8              0              3              4      0.0144764    -0.00635777
8              8              0              3              5   -0.000423166    -0.00695991
8              8              0              4              4       0.807284              0
8              8              0              4              5     0.00186761      -0.237403
8              8              0              5              5       0.687485              0
9              9              0              0              0       0.793249              0
9              9              0              0              1      0.0629089     0.00639337
9              9              0              0              2    -0.00189496       0.233217
9              9              0              0              3      0.0399468       0.202435
9              9              0              0              4    -0.00976298     -0.0622959
9              9              0              0              5       0.228664     -0.0462203
9              9              0              1              1       0.518232              0
9              9              0              1              2     0.00015438      0.0463285
9              9              0              1              3    -0.00955595     -0.0623428
9              9              0              1              4       0.102129       0.470719
9              9              0              1              5      0.0463771     -0.0051597
9              9              0              2              2       0.688521              0
9              9              0              2              3      -0.228602      0.0465092
9              9              0              2              4     -0.0463309     0.00538994
9              9              0              2              5      0.0644532       0.304558
9              9              0              3              3       0.793247              0
9              9              0              3              4      0.0629157    -0.00660551
9              9              0              3              5     0.00159986       0.233214
9              9              0              4              4       0.518233              0
9              9              0              4              5    -0.00038907      0.0463261
9              9              0              5              5       0.688518              0
10             10              0              0              0       0.505839              0
10             10              0              0              1      0.0200601     0.00670516
10             10              0              0              2    0.000690081     -0.0114322
10             10              0              0              3       0.462465       0.173867
10             10              0              0              4     -0.0201572     -0.0033683
10             10              0              0              5   -0.000342032      0.0121826
10             10              0              1              1       0.805677              0
10             10              0              1              2    -0.00169443      -0.237493
10             10              0              1              3      -0.020299    -0.00298861
10             10              0              1              4       0.182252      0.0661434
10             10              0              1              5     -0.0805504       0.223518
10             10              0              2              2        0.68848              0
10             10              0              2              3    5.06352e-05     -0.0122965
10             10              0              2              4      0.0805687      -0.223516
10             10              0              2              5        0.29172       0.108774
10             10              0              3              3       0.505839              0
10             10              0              3              4      0.0200559    -0.00629998
10             10              0              3              5   -0.000377437     -0.0114317
10             10              0              4              4       0.805681              0
10             10              0              4              5     0.00167654      -0.237501
10             10              0              5              5       0.688484              0
11             11              0              0              0       0.795241              0
11             11              0              0              1       0.057617     0.00641968
