#site_i   site_i(x)    site_i(y)    site_j   site_j(x)    site_j(y)     SS[site_i][site_j]     LL[site_i][site_j]     JeffJeff[site_i][site_j]     MM[site_i][site_j]
5              5              0             13             13              0       0.998416       0.904889       0.155459        8.39424
5              5              0             14             14              0        0.53913      -0.224676      0.0140258         2.5327
5              5              0             15             15              0       0.984202       0.935991      0.0792507        8.55468
6              6              0              0              0              0       0.981533       0.936229      0.0792033        8.53948
6              6              0              1              1              0       0.551589      -0.212421      0.0117532        2.64876
6              6              0              2              2              0       0.998566       0.904954       0.155671        8.39492
6              6              0              3              3              0       0.538656      -0.214625      0.0116819         2.5647
6              6              0              4              4              0       0.998531       0.904369       0.156029        8.39224
6              6              0              5              5              0       0.538317      -0.232129     -0.0164463        2.56641
6              6              0              6              6              0        2.00564        1.97324        2.21104        13.5315
6              6              0              7              7              0       0.542112      -0.227987     -0.0171947         2.6031
6              6              0              8              8              0       0.998524       0.904408       0.155946        8.39247
6              6              0              9              9              0       0.550335      -0.202733     0.00954231        2.67473
6              6              0             10             10              0       0.998492        0.90445       0.155733        8.39283
6              6              0             11             11              0       0.554696      -0.198319     0.00874912        2.71572
6              6              0             12             12              0       0.998449        0.90431       0.155945        8.39173
6              6              0             13             13              0       0.555825      -0.196201     0.00824664        2.72985
6              6              0             14             14              0       0.998468       0.900162       0.160813        8.36967
6              6              0             15             15              0        0.39025      -0.191393     0.00761319         1.7521
7              7              0              0              0              0       0.380571       -0.20015     0.00838508         1.6662
7              7              0              1              1              0       0.998436       0.900274        0.16071        8.37002
7              7              0              2              2              0       0.548103      -0.203797     0.00961456          2.658
7              7              0              3              3              0       0.998541       0.904484       0.155588        8.39352
7              7              0              4              4              0       0.548125      -0.204693     0.00991225        2.65485
7              7              0              5              5              0       0.998528       0.904569       0.155532        8.39381
7              7              0              6              6              0       0.542112      -0.227987     -0.0171947         2.6031
7              7              0              7              7              0        2.00564        1.97325        2.21037        13.5329
7              7              0              8              8              0       0.537486      -0.232784     -0.0163003        2.55916
7              7              0              9              9              0       0.998517       0.904481       0.155682        8.39318
7              7              0             10             10              0       0.534421      -0.218239      0.0123362        2.52714
7              7              0             11             11              0       0.998497       0.904423       0.155837        8.39258
7              7              0             12             12              0       0.531763      -0.221496      0.0129032        2.50029
7              7              0             13             13              0       0.998486        0.90496       0.155409        8.39498
7              7              0             14             14              0       0.542939      -0.220571      0.0132873        2.56935
7              7              0             15             15              0        0.98342        0.93612      0.0792093        8.55046
8              8              0              0              0              0        0.98254       0.936137      0.0792041        8.54524
8              8              0              1              1              0       0.546977      -0.217189       0.012633        2.60503
8              8              0              2              2              0       0.998529       0.904923       0.155635        8.39467
8              8              0              3              3              0       0.533998      -0.219411      0.0125372        2.52068
8              8              0              4              4              0       0.998523       0.904341       0.156065        8.39203
8              8              0              5              5              0       0.536304      -0.217054      0.0120831        2.54249
8              8              0              6              6              0       0.998524       0.904408       0.155946        8.39247
8              8              0              7              7              0       0.537486      -0.232784     -0.0163003        2.55916
8              8              0              8              8              0        2.00564        1.97324        2.21097        13.5316
8              8              0              9              9              0       0.543068      -0.227409     -0.0173305        2.61084
8              8              0             10             10              0       0.998516       0.904504       0.155641        8.39332
8              8              0             11             11              0       0.550094       -0.20313     0.00959992        2.67198
8              8              0             12             12              0       0.998519       0.904379       0.155927         8.3924
8              8              0             13             13              0       0.551228      -0.201016     0.00909915        2.68612
8              8              0             14             14              0       0.998464       0.900231       0.160794        8.36989
8              8              0             15             15              0       0.385159      -0.196389     0.00804574         1.7057
9              9              0              0              0              0       0.386729      -0.194551     0.00789689        1.72093
9              9              0              1              1              0       0.998469       0.900141       0.160922        8.36939
9              9              0              2              2              0       0.553664      -0.198398     0.00864278        2.70951
9              9              0              3              3              0        0.99847       0.904343       0.155791        8.39227
9              9              0              4              4              0       0.553687      -0.199297     0.00894206        2.70635
9              9              0              5              5              0       0.998505       0.904439        0.15581        8.39273
9              9              0              6              6              0       0.550335      -0.202733     0.00954231        2.67473
9              9              0              7              7              0       0.998517       0.904481       0.155682        8.39318
9              9              0              8              8              0       0.543068      -0.227409     -0.0173305        2.61084
9              9              0              9              9              0        2.00564        1.97324        2.21096        13.5317
9              9              0             10             10              0       0.537406      -0.232725     -0.0162956        2.55886
9              9              0             11             11              0       0.998526       0.904387       0.155988        8.39234
9              9              0             12             12              0       0.537395      -0.216127      0.0119318        2.55213
9              9              0             13             13              0       0.998553       0.904935       0.155634        8.39485
9              9              0             14             14              0       0.548523      -0.215224      0.0122894        2.62089
9              9              0             15             15              0       0.982233       0.936166      0.0793024        8.54329
10             10              0              0              0              0       0.983732       0.936089      0.0790795         8.5525
10             10              0              1              1              0       0.541307      -0.222475      0.0136325        2.55315
10             10              0              2              2              0       0.998441       0.904941       0.155346        8.39478
10             10              0              3              3              0       0.528271      -0.224721      0.0135042        2.46845
10             10              0              4              4              0       0.998435       0.904365       0.155777        8.39215
10             10              0              5              5              0       0.530587      -0.222365       0.013055        2.49032
10             10              0              6              6              0       0.998492        0.90445       0.155733        8.39283
10             10              0              7              7              0       0.534421      -0.218239      0.0123362        2.52714
10             10              0              8              8              0       0.998516       0.904504       0.155641        8.39332
10             10              0              9              9              0       0.537406      -0.232725     -0.0162956        2.55886
10             10              0             10             10              0        2.00564        1.97325        2.21023        13.5331
10             10              0             11             11              0       0.541791      -0.228327     -0.0171316        2.60003
10             10              0             12             12              0       0.998533        0.90451       0.155587        8.39356
10             10              0             13             13              0       0.545575      -0.206356       0.010069        2.63425
10             10              0             14             14              0       0.998418       0.900359       0.160517        8.37055
10             10              0             15             15              0       0.378909      -0.201926     0.00853429        1.65061
11             11              0              0              0              0        0.39155      -0.189967     0.00749508        1.76441
11             11              0              1              1              0       0.998464       0.900059       0.161004        8.36895
11             11              0              2              2              0       0.558013      -0.193979     0.00784695        2.75045
11             11              0              3              3              0       0.998384       0.904254       0.155869        8.39133
11             11              0              4              4              0       0.558035      -0.194881     0.00814429        2.74728
11             11              0              5              5              0       0.998433       0.904363        0.15589        8.39191
